foodcols,foodcounts
fresh,227
chicken,150
curry,73
samosas,67
rice,70
cakes,65
samosa,114
meat,48
treats,45
halal,43
lamb,38
biryani,42
sweet,51
cake,111
freshly,32
sunday,31
rolls,31
bread,34
roti,27
cheese,38
fish,25
paratha,21
beef,23
kababs,20
kebab,37
kabab,36
aloo,18
kebabs,16
tablet,18
chutney,24
bakes,18
meal,29
meals,14
cooked,15
pizza,12
roast,19
chutneys,9
sweets,9
baked,6
briyani,6
treat,53
chapati,6
bake,36
chiken,2
somosa,7
curries,3
roasts,3
rotti,5
somosas,3
biriyani,2
breads,3
chappati,2
chatpati,2
currys,2
freash,2
meats,2
bakes😍,1
biryanichicken,NA
briyani🥩,1
breadroll,1
chapatis,1
chapattis,1
churneys,1
curri,4
currychicken,NA
fredh,1
fresha,1
kabaab,1
roasted,1
roti’s,1
roties,1
sambosah,1
samoas,1
samoosa,2
samoosas,1
samosa’s,1
samosasavailable,NA
samsosa,1
sweeets,1
sweet��,1
