"","keywordsvec","Freq"
"1","-",116
"2","--",1
"3","---",1
"4","-choc",1
"5","-fresh",1
"6","-fundraising",1
"7","-local",1
"8","-penguin",1
"9","-up",1
"10","–",10
"11",",x",1
"12","!",5
"13","!!",2
"14","‼️",2
"15","'ball'",1
"16","'feed",1
"17","'freshprochef10'",1
"18","'n'",1
"19","'stuff'",1
"20","‘old",1
"21","""grilled""",1
"22","“malai",1
"23","“ready”",1
"24","“zlota",1
"25","(+homemade",1
"26","(£10)",1
"27","(£2.50)",1
"28","(£5)",1
"29","(12oz)",1
"30","(16mm)",1
"31","(17-1800s):",1
"32","(2",1
"33","(2)",1
"34","(260x86x70cm)",1
"35","(300g",2
"36","(30x20x13cm)",1
"37","(4",2
"38","(50",1
"39","(6",1
"40","(6pcs.)",1
"41","(7oz)",1
"42","(9",1
"43","(a+)",1
"44","(baby",1
"45","(been",1
"46","(bhuna",2
"47","(chapattis)",1
"48","(chappati)",1
"49","(chevra)",1
"50","(chicken)",3
"51","(clarified",1
"52","(coconut",1
"53","(contact",1
"54","(corner)",1
"55","(disi",1
"56","(dog",1
"57","(ensuite",1
"58","(extra",1
"59","(fenugreek",3
"60","(fenugreek)",1
"61","(final",1
"62","(fits",1
"63","(food",1
"64","(food)",1
"65","(friday",1
"66","(from",1
"67","(fully",2
"68","(gol-",1
"69","(halal",1
"70","(halal)",2
"71","(homemade)",5
"72","(hot",1
"73","(hutki)",1
"74","(idli,dosa,wada,poori,lemon",1
"75","(kaddu",1
"76","(lahori",1
"77","(linseeds)",2
"78","(made",1
"79","(mas",1
"80","(meat",2
"81","(meeno",2
"82","(meenos",7
"83","(meenos)",1
"84","(meenos)chicken",1
"85","(mutanjan)",2
"86","(neon)",1
"87","(pakwaan)",1
"88","(paya",1
"89","(payay",3
"90","(personalised)",1
"91","(pickle)",1
"92","(pickling",1
"93","(pishwari",1
"94","(poppy",1
"95","(potato/apple/bulb",1
"96","(prices",2
"97","(queens)",1
"98","(reduced)",2
"99","(rrp:",1
"100","(school,",1
"101","(semolina)",1
"102","(servings",1
"103","(silver",1
"104","(single",1
"105","(steam",1
"106","(takeaway)",1
"107","(to",2
"108","(uri)",1
"109","(used)",1
"110","(variety)",1
"111","(various)",1
"112","(vegetable)",1
"113","(with",1
"114","(ypres",1
"115","(zarda)",1
"116","(حلال)",1
"117","[hidden",9
"118","@",1
"119","@phoenix",1
"120","*",16
"121","***ferndale",1
"122","*choices*",2
"123","*giveaways*",1
"124","*wholesale",1
"125","/",41
"126","/achar",1
"127","/barbecue",1
"128","/chicken/beef",1
"129","/chutney",1
"130","/cookies",1
"131","/halal",1
"132","/lauki-chana-dal",1
"133","/meat",2
"134","/samosa",1
"135","&",75
"136","&chips",2
"137","&oven",1
"138","&shop",1
"139","#da6",1
"140","#se26",1
"141","%",1
"142","•candles•reed",1
"143","+",10
"144","=all",1
"145","|",12
"146","~4ft",1
"147","🇬🇾",1
"148","✨",1
"149","❤",6
"150","❤️",1
"151","❤️🎅🏻",1
"152","⭐️⭐️⭐️⭐️",1
"153","🍅",1
"154","🍋",1
"155","🍗",1
"156","🍩",1
"157","🍫",1
"158","🍰🧁",1
"159","🍲",1
"160","🎁",2
"161","🎁🎁",1
"162","🎄",2
"163","🎄⛄️",1
"164","🎄🎁",1
"165","🎄🎅",2
"166","🎄🎅🏻",3
"167","🎄🎅🏻⛄️",1
"168","🎅",2
"169","🎅🎄⛄️❄️",1
"170","🎅🏻🎄",1
"171","🎅🏻🎄🎅🏻",1
"172","🏴󠁧󠁢󠁳󠁣󠁴󠁿",1
"173","🐔",1
"174","🐝",1
"175","👌",2
"176","👍",1
"177","💐2019",1
"178","💗💗💗",1
"179","💜",1
"180","💥💥",1
"181","💯",1
"182","💯%",1
"183","🔥",1
"184","🔥🎆",1
"185","🥘",4
"186","🥞🥘",1
"187","🥟",1
"188","🥧",1
"189","🦄",1
"190","🦌",1
"191","🦌🦌🦌",1
"192","🧁🍰🥧🍪",1
"193","😍",2
"194","😍🦄🧁🍦🍩🍏🍄",1
