,X,keywordsvec,Freq,nearmatch,matchcounts,DefinitiveTerm,CombinedSUM,food,ian
2909,2909,sylvanian,3,,,,0,,sylvanian
2532,2532,russian,2,,,,0,,russian
2500,2500,romanian,1,,,,0,,romanian
2176,2176,persian,3,,,,0,,persian
2095,2095,pakorian,1,,,,0,,pakorian
1896,1896,moroccan,9,,,,0,,moroccan
1893,1893,moraccan,1,,,,0,,moroccan
1901,1901,morrocan,1,,,,0,,moroccan
1865,1865,minturian,1,,,,0,,minturian
1774,1774,manchurian,5,,,,0,,manchurian
1768,1768,malaysian,2,,,,0,,malaysian
1644,1644,lankan,1,,,,0,,sri lankan
1589,1589,khataiindian,1,,,,0,,indian
1510,1510,jamaican,1,,,,0,,jamaican
1500,1500,italian,13,,,,0,,italian
1495,1495,iranian,5,,,,0,,iranian
1472,1472,indonesian,1,,,,0,,indonesian
1467,1467,indian,61,italian,13,indian,64,,indian
1468,1468,indisn,2,,,indian,64,,indian
1466,1466,india,1,,,indian,64,,indian
1435,1435,hungarian,1,,,,0,,hungarian
1386,1386,hessian,1,,,,0,,hessian
1019,1019,egyptian,1,,,,0,,egyptian
822,822,cuban,1,,,,0,,cuban
441,441,brazilian,2,,,,0,,brazilian
204,204,asian,12,,,,0,,asian
157,157,ambiano,1,,,,0,,ambiano
140,140,algerian,1,,,,0,,algerian
124,124,african,7,,,,0,,african
2548,2548,sale,225,cafe,17,sale,225,,
1426,1426,house,213,horse,5,house,213,FALSE,
315,315,bedroom,207,bedrooms,24,bedroom,231,FALSE,
1168,1168,fresh,188,fish,22,fresh,224,TRUE,
655,655,christmas,163,chips,8,christmas,166,,
625,625,chicken,153,chiken,4,chicken,157,TRUE,
3244,3244,with,130,fish,22,with,130,,
900,900,detached,100,terraced,19,detached,100,FALSE,
1057,1057,eve,84,veg,20,eve,84,,
1963,1963,new,78,now,26,new,78,,
836,836,curry,72,party,18,curry,79,TRUE,
2564,2564,samosas,67,somosa,4,samosas,120,TRUE,
235,235,baby,65,by,22,baby,70,,
2053,2053,order,59,orders,11,order,72,,
2450,2450,rent,58,set,30,rent,62,,
429,429,box,57,now,26,box,108,,
224,224,available,55,vegetable,16,available,55,,
936,936,dog,55,do,11,dog,62,,
2474,2474,rice,54,price,7,rice,54,TRUE,
511,511,cakes,53,bakes,14,cake,92,TRUE,
431,431,boxes,50,cones,21,box,108,,
3283,3283,your,50,you,12,your,50,,
2562,2562,samosa,46,somosa,4,samosas,120,TRUE,
1815,1815,meat,45,meal,14,meat,47,TRUE,
3051,3051,treats,45,treat,6,treats,51,TRUE,
1322,1322,halal,43,call,13,halal,43,TRUE,
1604,1604,kitchen,43,butcher,4,kitchen,43,FALSE,
1639,1639,lamb,42,jam,13,lamb,42,TRUE,
2633,2633,semi,41,set,30,semi,41,FALSE,
370,370,biryani,40,briyani,6,biryani,50,TRUE,
2901,2901,sweet,40,sweets,9,sweet,51,TRUE,
510,510,cake,39,cafe,17,cake,92,TRUE,
647,647,chocolate,39,chocolates,4,chocolate,48,,
880,880,delicious,39,glorious,3,delicious,40,,
2440,2440,reindeer,37,blender,21,reindeer,37,FALSE,
1163,1163,free,32,from,21,free,32,,
1172,1172,freshly,32,friendly,11,fresh,224,TRUE,
1422,1422,hot,32,not,7,hot,32,TRUE,
2886,2886,sunday,32,santa,17,sunday,32,TRUE,
2498,2498,rolls,31,,,bread,61,TRUE,
210,210,at,31,,,,0,,
2534,2534,s,31,,,,0,,
1127,1127,flat,30,,,,0,,
2645,2645,set,30,,,,0,,
1646,1646,large,29,,,,0,,
436,436,brand,28,,,,0,FALSE,
1763,1763,maker,28,,,,0,FALSE,
442,442,bread,27,,,bread,61,TRUE,
2786,2786,special,27,,,,0,,
1993,1993,now,26,,,,0,,
3271,3271,x,26,,,,0,,
2509,2509,roti,25,,,roti,30,TRUE,
610,610,cheese,25,,,,0,TRUE,
2179,2179,personalised,25,,,,0,,
316,316,bedrooms,24,,,bedroom,231,FALSE,
1147,1147,foods,24,,,,0,,
1940,1940,n,24,,,,0,,
2680,2680,shop,24,,,,0,,
3273,3273,xmas,24,,,,0,,
886,886,delivery,23,,,deliver,49,,
397,397,board,23,,,,0,,
756,756,cookies,23,,,,0,,
1197,1197,fudge,23,,,,0,,
1340,1340,hand,23,,,,0,,
883,883,delivered,22,,,deliver,49,,
1117,1117,fish,22,,,fish,22,TRUE,
497,497,by,22,,,,0,,
961,961,double,22,,,,0,,
2117,2117,paratha,22,,,,0,TRUE,
2817,2817,squeeze,22,,,,0,,
321,321,beef,21,,,,0,TRUE,
384,384,blender,21,,,,0,FALSE,
734,734,cones,21,,,,0,,
1184,1184,from,21,,,,0,,
2043,2043,only,21,,,,0,,
2859,2859,storage,21,,,,0,FALSE,
1542,1542,kababs,20,,,kebab,59,TRUE,
1569,1569,kebab,20,,,kebab,59,TRUE,
1503,1503,items,20,,,,0,FALSE,
2217,2217,pies,20,,,,0,,
3140,3140,veg,20,,,,0,,
526,526,candles,19,,,,0,FALSE,
650,650,chopping,19,,,,0,FALSE,
1187,1187,frozen,19,,,,0,,
1754,1754,magic,19,,,,0,,
2503,2503,room,19,,,,0,,
2657,2657,shami,19,,,,0,,
2955,2955,terraced,19,,,,0,FALSE,
3205,3205,wax,19,,,,0,FALSE,
1541,1541,kabab,18,,,kebab,59,TRUE,
149,149,aloo,18,,,,0,TRUE,
999,999,each,18,,,,0,,
1246,1246,glass,18,,,,0,FALSE,
1738,1738,lunch,18,,,,0,,
2129,2129,party,18,,,,0,FALSE,
2941,2941,tea,18,,,,0,,
3251,3251,wooden,18,,,,0,FALSE,
1571,1571,kebabs,17,,,kebab,0,TRUE,
373,373,biscuits,17,,,,0,,
507,507,cafe,17,,,,0,,
802,802,cream,17,,,,0,,
1237,1237,gift,17,,,,0,FALSE,
2572,2572,santa,17,,,,0,,
2914,2914,tablet,17,,,,0,TRUE,
21,21,*,16,,,,0,,
109,109,accessories,16,,,,0,FALSE,
1053,1053,etc,16,,,,0,,
2252,2252,play,16,,,,0,FALSE,
2295,2295,pots,16,,,,0,,
2299,2299,pouches,16,,,,0,FALSE,
3044,3044,tray,16,,,,0,,
3142,3142,vegetable,16,,,,0,,
658,658,chutney,15,,,chutney,25,TRUE,
244,244,bags,15,,,,0,,
289,289,bathroom,15,,,,0,FALSE,
411,411,book,15,,,,0,,
1403,1403,holiday,15,,,,0,,
1765,1765,making,15,,,,0,,
1831,1831,melts,15,,,,0,,
2059,2059,organic,15,,,,0,,
2079,2079,pack,15,,,,0,,
2824,2824,stainless,15,,,,0,FALSE,
2842,2842,steel,15,,,,0,FALSE,
3008,3008,today,15,,,,0,,
3034,3034,traditional,15,,,,0,,
3108,3108,up,15,,,,0,,
3132,3132,van,15,,,,0,,
249,249,bakes,14,,,bake,25,TRUE,
1813,1813,meal,14,,,meal,28,TRUE,
1814,1814,meals,14,,,meal,28,TRUE,
178,178,apartment,14,,,,0,,
414,414,books,14,,,,0,,
478,478,bundle,14,,,,0,,
560,560,catering,14,,,,0,,
752,752,cooked,14,,,,0,TRUE,
1106,1106,fill,14,,,,0,,
2203,2203,pickle,14,,,,0,,
2236,2236,pizza,14,,,,0,TRUE,
2351,2351,property,14,,,,0,,
3227,3227,white,14,,,,0,,
2483,2483,roast,13,,,roast,17,TRUE,
516,516,call,13,,,,0,,
955,955,door,13,,,,0,,
1239,1239,gifts,13,,,,0,,
1336,1336,hampers,13,,,,0,,
1345,1345,handmade,13,,,,0,,
1509,1509,jam,13,,,,0,,
1762,1762,make,13,,,,0,,
1822,1822,meenos,13,,,,0,,
1938,1938,mutton,13,,,,0,,
2211,2211,pie,13,,,,0,,
2339,2339,processor,13,,,,0,,
2643,2643,serving,13,,,,0,,
2808,2808,spring,13,,,,0,,
2836,2836,station,13,,,,0,,
29,29,%,12,,,,0,,
34,34,|,12,,,,0,,
218,218,authentic,12,,,,0,,
461,461,brownies,12,,,,0,,
593,593,chapli,12,,,,0,,
614,614,chef,12,,,,0,,
864,864,day,12,,,,0,,
915,915,dinner,12,,,,0,,
1514,1514,jams,12,,,,0,,
2042,2042,onions,12,,,,0,,
2425,2425,ready,12,,,,0,,
2640,2640,service,12,,,,0,,
2775,2775,soup,12,,,,0,,
2840,2840,steamer,12,,,,0,,
3080,3080,turkish,12,,,,0,,
3137,3137,various,12,,,,0,,
3141,3141,vegan,12,,,,0,,
3200,3200,water,12,,,,0,,
3216,3216,weekly,12,,,,0,,
3282,3282,you,12,,,,0,,
635,635,chilli,11,,,chilli,14,,
2056,2056,orders,11,,,order,72,,
2,2,–,11,,,,0,,
254,254,baklava,11,,,,0,,
287,287,bath,11,,,,0,,
401,401,body,11,,,,0,,
493,493,butter,11,,,,0,,
509,509,cage,11,,,,0,,
524,524,candle,11,,,,0,,
572,572,centre,11,,,,0,,
704,704,collection,11,,,,0,,
749,749,cook,11,,,,0,,
854,854,daily,11,,,,0,,
934,934,do,11,,,,0,,
1166,1166,freezer,11,,,,0,,
1179,1179,friendly,11,,,,0,,
1189,1189,fruit,11,,,,0,,
1538,1538,k,11,,,,0,,
1555,1555,karachi,11,,,,0,,
1595,1595,kids,11,,,,0,,
