"Source Url","Img","Price","Title","Location","Insideout"
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£5","Delicious Asian malabari Home made Foods for party.","Cardiff, Wales · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£5","Homemade Indonesian peanut crackers","Newton Abbot, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£12,345","cakes","Ivybridge, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£16","Mini Smoker. BBQ.","Exmouth, England · 6 days ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£5","Pure local honey","Exeter, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","FREE","Pret surplus food on Olio app","Pontypridd, Wales · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£11,111","Lots of made up baskets sweet boxes etc prices vary just ask","Plymouth, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","FREE","Food ZONE","Bridgwater, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£10","Samoosas","Plymouth, England · about a day ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£20","Nigeria pie","Plymouth, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","FREE","Food Zone","Bridgwater, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£45","Home made Baklava’s (made to order)","Cardiff, Wales · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","FREE","Food","Plymouth, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","FREE","FREE FOOD","Barnstaple, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Exeter%20Facebook%20Marketplace.html","","£5","Candle Moulding Set:)","Exeter, England · over a week ago",""
