"Source Url","Price","Id","Img","Title","Location","Location 2","Location 3","Location 4"
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£5","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=530130907821367&query=Home+made+food&ref=global_search_marketplace_pill_tab","75450055_2568809469880097_1608887443342229504_o.jpg"" alt=""75450055_2568809469880097_1608887443342229504_o.jpg","Freshly cooked Home made indian curry","12 hours ago · LE1 5RA","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£10","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=1586637928144446&query=Home+made+food&ref=global_search_marketplace_pill_tab","76695280_2562157773871806_4737588449224163328_n.jpg"" alt=""76695280_2562157773871806_4737588449224163328_n.jpg","Pinniyan","on Monday · WV2 4","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£5","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=476503783220836&query=Home+made+food&ref=global_search_marketplace_pill_tab","75567432_2424601291135378_4820797118392303616_n.jpg"" alt=""75567432_2424601291135378_4820797118392303616_n.jpg","Home made hygienic Lahori Food","8 hours ago · B4 7","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£16","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=2372380563011938&query=Home+made+food&ref=global_search_marketplace_pill_tab","73076842_10212182108387151_688112090770046976_o.jpg"" alt=""73076842_10212182108387151_688112090770046976_o.jpg","Samosa and much more!","20 hours ago · B4 7","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£6","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=549648019111018&query=Home+made+food&ref=global_search_marketplace_pill_tab","71901963_10157823277744802_1203277440646905856_n.jpg"" alt=""71901963_10157823277744802_1203277440646905856_n.jpg","All old school tray bakes Made to order We also do cheesecakes & cupcakes! For all occasions 🍰🧁","over a week ago · WS3 5","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£1","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=393691024638768&query=Home+made+food&ref=global_search_marketplace_pill_tab","72216660_769776540126648_9202978827758731264_n.jpg"" alt=""72216660_769776540126648_9202978827758731264_n.jpg","Chapati","over a week ago · CV1 1","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£8","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=437767770215440&query=Home+made+food&ref=global_search_marketplace_pill_tab","74162069_2814243255468637_484291733383806976_n.jpg"" alt=""74162069_2814243255468637_484291733383806976_n.jpg","Home made fresh halal food","over a week ago · WS1 3","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£3","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=365661934300045&query=Home+made+food&ref=global_search_marketplace_pill_tab","61391740_2209611705824281_6654986966850863104_n.jpg"" alt=""61391740_2209611705824281_6654986966850863104_n.jpg","Indian Idli / Dosa Batter","over a week ago · CV2 4BY","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","FREE","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=2496779990558847&query=Home+made+food&ref=global_search_marketplace_pill_tab","70955957_795320680896424_1959718758834503680_n.jpg"" alt=""70955957_795320680896424_1959718758834503680_n.jpg","fresh samosas","over a week ago · B6 5LX","","",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Manchester%20Home%20made%20food%20-%20Facebook%20Search.html","£7","https://www.facebook.com/marketplace/search/?callsite=commerce_mktplace_www_hoisted_pdp&hoisted_item=492067391600304&query=Home+made+food&ref=global_search_marketplace_pill_tab","67516614_2357594514359567_7868178463327256576_o.jpg"" alt=""67516614_2357594514359567_7868178463327256576_o.jpg","Home made Mutton curry","over a week ago · B11 3JN","","",""
