"Source Url","Img","Price","Title","Location","Insideout"
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","HOMEMADE LEMON DRIZZLE","£3","HOMEMADE LEMON DRIZZLE","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Homemade Apple Pie (to order)","£35","Homemade Apple Pie (to order)","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Homemade cheese Cake (to order)","£35","Homemade cheese Cake (to order)","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Homemade cakes","£12,345","Homemade cakes","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","home made lemon drizzle/muffins/chocolate cakes","£10","home made lemon drizzle/muffins/chocolate cakes","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","hOME mADE pICKLED oNIONS","£1","hOME mADE pICKLED oNIONS","Clacton-on-Sea, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","home made pickled onions","£1","home made pickled onions","Clacton-on-Sea, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Macarons","£1","Macarons","Wymondham, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Baklava","£20","Baklava","Norwich, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Norwich%20Facebook%20Marketplace.html","Home Made Jam Marmalade & Chutneys","£2","Home Made Jam Marmalade & Chutneys","Downham Market, England · over a week ago",""
