"Source Url","Img","Price","Title","Location","Insideout"
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Home made uncooked samosa","Slough, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£4","Homemade indian/Pakistani food","High Wycombe, England · 3 days ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","homemade Burger halal","Reading, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","Fresh home made Curry","Beaconsfield, England · 18 hours ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£4","Homemade biryani with Raita","High Wycombe, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Tuesday Special InshaAllah Peshawari Chapli kabab order now","Hayes, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Rotti/chapati/puri","Maidenhead, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","₹1","home made sweet","Reading, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","South Indian Takeaway food","Slough, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£6","Home made Lamb Kofta And Sweet Dish Kheer...","Slough, England · 18 hours ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£25","fresh homemade biryani with a meat","London, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£2","Homemade green tomato chutney.","Camberley, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","Home made food","Slough, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£15","home made salyzon 😘😉🤙👌🏽","Reading, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£7","Home made Mutton uppu curry","Slough, England · about a day ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Home made delicious food","Luton, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Home made food","Luton, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","Thursday special InshaAllah chicken Dum Biryani order now","Hayes, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","FREE","Home made indian/pakistani food","Tilbury, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","FREE","Homemade Fudge","Bracknell, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Moroccan Msemen","London, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","CHICKEN KARAHI","Slough, England · 18 hours ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Homemade food","Luton, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","Home made food","London, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","FREE","Homemade halal Food","Aylesbury, England · 3 days ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Home made food","Wembley, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£1","Pitha/ Asian home made fresh food","London, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","FREE","Homemade Shaami kebabs and Aloo tikki","Isleworth, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£6","Homemade food","Slough, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£5","Iranian HALAL home made fresh food","Ilford, England · over a week ago",""
"file:///Users/paul/Dropbox/workInProgress/facebookmarketplace/webarchives/Reading%20Facebook%20Marketplace.html","","£35","Halal Pakistani/Indian home made food","London, England · over a week ago",""
