"","keywordsvec","Freq"
"1","-",116
"2","--",1
"3","---",1
"4","-choc",1
"5","-fresh",1
"6","-fundraising",1
"7","-local",1
"8","-penguin",1
"9","-up",1
"10","–",10
"11","!",5
"12","!!",2
"13","‼",1
"14","‼️",4
"15","'ball'",1
"16","'feed",1
"17","'freshprochef10'",1
"18","'n'",1
"19","'stuff'",1
"20","‘food",1
"21","‘old",1
"22","‘pussy’",1
"23","""grilled""",1
"24","“malai",1
"25","“ready”",1
"26","“zlota",1
"27","(+homemade",1
"28","(£10)",1
"29","(£2.50)",1
"30","(£5)",1
"31","(12oz)",1
"32","(16mm)",1
"33","(17-1800s):",1
"34","(2",1
"35","(2)",1
"36","(260x86x70cm)",1
"37","(300g",2
"38","(30x20x13cm)",1
"39","(4",2
"40","(50",1
"41","(6",1
"42","(6pcs.)",1
"43","(7oz)",1
"44","(9",1
"45","(a+)",1
"46","(baby",1
"47","(been",1
"48","(bhuna",2
"49","(chapattis)",1
"50","(chappati)",1
"51","(chevra)",1
"52","(chicken)",3
"53","(clarified",1
"54","(coconut",1
"55","(contact",1
"56","(corner)",1
"57","(disi",1
"58","(dog",1
"59","(ensuite",1
"60","(extra",1
"61","(fenugreek",3
"62","(fenugreek)",1
"63","(final",1
"64","(fits",1
"65","(food",1
"66","(food)",1
"67","(friday",1
"68","(from",1
"69","(fully",2
"70","(gol-",1
"71","(halal",1
"72","(halal)",2
"73","(homemade)",5
"74","(hot",1
"75","(hutki)",1
"76","(idli,dosa,wada,poori,lemon",1
"77","(kaddu",1
"78","(lahori",1
"79","(linseeds)",2
"80","(made",1
"81","(mas",1
"82","(meat",2
"83","(meeno",2
"84","(meenos",8
"85","(meenos)",1
"86","(meenos)chicken",1
"87","(mutanjan)",2
"88","(neon)",1
"89","(pakwaan)",1
"90","(paya",1
"91","(payay",3
"92","(personalised)",1
"93","(pickle)",1
"94","(pickling",1
"95","(pishwari",1
"96","(poppy",1
"97","(potato/apple/bulb",1
"98","(prices",2
"99","(queens)",1
"100","(reduced)",2
"101","(rrp:",1
"102","(school,",1
"103","(semolina)",1
"104","(servings",1
"105","(silver",1
"106","(single",1
"107","(steam",1
"108","(takeaway)",1
"109","(to",2
"110","(uri)",1
"111","(used)",1
"112","(variety)",1
"113","(various)",1
"114","(vegetable)",1
"115","(with",1
"116","(ypres",1
"117","(zarda)",1
"118","(حلال)",1
"119","[hidden",9
"120","@",1
"121","@phoenix",1
"122","*",16
"123","***ferndale",1
"124","**tuesday",1
"125","*choices*",2
"126","*giveaways*",1
"127","*wholesale",1
"128","/",41
"129","/achar",1
"130","/barbecue",1
"131","/chicken/beef",1
"132","/chutney",1
"133","/cookies",1
"134","/halal",1
"135","/lauki-chana-dal",1
"136","/meat",2
"137","/samosa",1
"138","&",75
"139","&chips",2
"140","&oven",1
"141","&shop",1
"142","#da6",1
"143","#se26",1
"144","%",1
"145","•candles•reed",1
"146","+",10
"147","=all",1
"148","|",12
"149","~4ft",1
"150","🇬🇾",1
"151","🇬🇾guyanese",2
"152","✨",2
"153","❄️elsa",1
"154","❤",6
"155","❤️",1
"156","❤️🎅🏻",1
"157","⭐️⭐️⭐️⭐️",1
"158","🍅",1
"159","🍋",1
"160","🍗",1
"161","🍩",1
"162","🍫",1
"163","🍰🧁",1
"164","🍲",1
"165","🎁",2
"166","🎁🎁",1
"167","🎄",2
"168","🎄⛄️",1
"169","🎄🎁",1
"170","🎄🎅",2
"171","🎄🎅🏻",3
"172","🎄🎅🏻⛄️",1
"173","🎄christmas",1
"174","🎅",2
"175","🎅🎄⛄️❄️",1
"176","🎅🎄oap",1
"177","🎅🏻🎄",1
"178","🎅🏻🎄🎅🏻",2
"179","🎅🏼☃️xmas",1
"180","🏴󠁧󠁢󠁳󠁣󠁴󠁿",1
"181","🐔",1
"182","🐝",1
"183","👌",2
"184","👍",1
"185","💐2019",1
"186","💓tablet💓",1
"187","💗💗💗",1
"188","💗💗💗help",1
"189","💜",2
"190","💥💥",1
"191","💥💥beef",1
"192","💯",1
"193","💯%",1
